{
    ~none~  ~>=无=<~
  ~placeBlock~  ~>=放方块=<~
  ~breakBlock~  ~>=破坏方块=<~
  ~smoke~  ~>=冒烟=<~
  ~spawn~  ~>=生成=<~
  ~tapBlock~  ~>=点击方块=<~
  ~select~  ~>=选择=<~
  ~vtolHover~  ~>=作者还没有用过=<~
  ~unitDrop~  ~>=拿起物品=<~
  ~unitPickup~  ~>=放下物品=<~
  ~unitLand~  ~>=着陆=<~
  ~pickup~  ~>=捡起=<~
  ~healWave~  ~>=治疗波=<~
  ~heal~  ~>=治疗=<~
  ~landShock~  ~>=地雷=<~
  ~reactorsmoke~  ~>=反应堆烟雾=<~
  ~nuclearsmoke~  ~>=核烟雾=<~
  ~nuclearcloud~  ~>=核云=<~
  ~redgeneratespark~  ~>=红色发电特效=<~
  ~generatespark~  ~>=发电特效=<~
  ~fuelburn~  ~>=燃料燃烧=<~
  ~plasticburn~  ~>=塑料燃烧=<~
  ~pulverize~  ~>=压缩=<~
  ~pulverizeRed~  ~>=红色压缩=<~
  ~pulverizeRedder~  ~>=更红的压缩=<~
  ~pulverizeSmall~  ~>=小型压缩=<~
  ~pulverizeMedium~  ~>=中型压缩=<~
  ~producesmoke~  ~>=生产烟雾=<~
  ~smeltsmoke~  ~>=冶炼烟雾=<~
  ~formsmoke~  ~>=成型烟雾=<~
  ~blastsmoke~  ~>=火焰烟雾=<~
  ~lava~  ~>=岩浆=<~
  ~doorclose~  ~>=关门=<~
  ~dooropen~  ~>=开门=<~
  ~dooropenlarge~  ~>=开大门=<~
  ~doorcloselarge~  ~>=关大门=<~
  ~purify~  ~>=纯化=<~
  ~purifyoil~  ~>=纯化油=<~
  ~purifystone~  ~>=纯化石头=<~
  ~generate~  ~>=生成=<~
  ~mine~  ~>=挖矿=<~
  ~mineBig~  ~>=大挖矿=<~
  ~mineHuge~  ~>=巨型挖矿=<~
  ~smelt~  ~>=冶炼=<~
  ~teleportActivate~  ~>=传送启动=<~
  ~teleport~  ~>=传送=<~
  ~teleportOut~  ~>=传送出来=<~
  ~ripple~  ~>=浪涌=<~
  ~bubble~  ~>=气泡=<~
  ~launch~  ~>=发射=<~
  ~healBlock~  ~>=治疗方块=<~
  ~healBlockFull~  ~>=完全治疗方块=<~
  ~healWaveMend~  ~>=修理投影治疗波=<~
  ~overdriveWave~  ~>=超频波=<~
  ~overdriveBlockFull~  ~>=全超频波=<~
  ~shieldBreak~  ~>=破盾=<~
  ~hitBulletSmall~  ~>=小型子弹击中=<~
  ~hitFuse~  ~>=融合击中=<~
  ~hitBulletBig~  ~>=大型子弹击中=<~
  ~hitFlameSmall~  ~>=大型火焰击中=<~
  ~hitLiquid~  ~>=液体击中=<~
  ~hitLaser~  ~>=镭射击中=<~
